Config,MRR@5,Recall@5,nDCG@5,Avg Latency (s),P95 Latency (s),Total Time (s),split
Hybrid+Title,0.6125,0.12865121162169788,0.48015571829070536,0.0638797104358673,0.07791148424148558,2.5551884174346924,overall
Dense+Meta+Title,0.6125,0.12708871162169788,0.4722645069787175,0.10004080533981323,0.12790682315826407,4.001632213592529,overall
Hybrid+Meta+Title,0.6125,0.12708871162169788,0.4722645069787175,0.09930974245071411,0.1280975818634033,3.9723896980285645,overall
Dense+Title,0.6125,0.12865121162169788,0.48015571829070536,0.0614238977432251,0.07417728900909423,2.456955909729004,overall
Hybrid+WeightedExpansion(0.3),0.6,0.1289736322566185,0.47495684009667344,0.15074459314346314,0.26304628849029543,6.029783725738525,overall
Hybrid+Meta+Title+Expansion,0.6,0.1289736322566185,0.47495684009667344,0.11599495410919189,0.16711779832839965,4.639798164367676,overall
Hybrid+WeightedExpansion(0.5),0.6,0.1301641084470947,0.4791963426625937,0.11895865797996522,0.14871267080307005,4.758346319198608,overall
BM25+Title,0.5904166666666667,0.12991143910407463,0.4663881663492696,0.00416519045829773,0.012469899654388425,0.16660761833190918,overall
BM25+Meta+Title,0.5904166666666667,0.12834893910407463,0.4584969550372818,0.029983699321746826,0.046841979026794434,1.199347972869873,overall
Full,0.5791666666666666,0.12335787461301015,0.46076494659918393,9.732343739271164,13.60570546388626,389.29374957084656,overall
Hybrid+Meta+Title+Length,0.5758333333333333,0.10745292744425297,0.461287107056579,0.13124407529830934,0.16466245651245115,5.249763011932373,overall
Hybrid+Meta+Title+Cross,0.5729166666666666,0.12448995371023966,0.4551990779692273,9.301380449533463,12.062703788280485,372.05821681022644,overall
Hybrid+Meta+Title+Expansion+Cross,0.5666666666666667,0.12535027582881564,0.4578914110871833,8.761405038833619,11.335706019401547,350.4562015533447,overall
Dense+Meta,0.5145833333333333,0.11099558756717884,0.405849963472902,0.09515593051910401,0.12396516799926757,3.80623722076416,overall
Hybrid,0.5145833333333333,0.11099558756717884,0.4048905878447903,0.06175289154052734,0.0787738561630249,2.4701156616210938,overall
Hybrid+Meta,0.5145833333333333,0.11099558756717884,0.405849963472902,0.09659083485603333,0.11361560821533202,3.863633394241333,overall
Dense,0.5145833333333333,0.11099558756717884,0.4048905878447903,0.11573749184608459,0.09356725215911865,4.629499673843384,overall
BM25+Meta,0.49333333333333335,0.11377336534495663,0.4018877827273431,0.030559635162353514,0.04687204360961914,1.2223854064941406,overall
BM25,0.49333333333333335,0.11377336534495663,0.40092840709923144,0.022868841886520386,0.03341912031173694,0.9147536754608154,overall
Full,0.3916666666666666,0.09550602528722836,0.3311895659461787,9.732343739271164,13.60570546388626,389.29374957084656,easy
Hybrid+Meta+Title+Cross,0.3770833333333333,0.09326905676541024,0.32042481912219023,9.301380449533463,12.062703788280485,372.05821681022644,easy
Hybrid+Meta+Title+Expansion+Cross,0.3770833333333333,0.0941293788839862,0.3257744757405534,8.761405038833619,11.335706019401547,350.4562015533447,easy
Hybrid+Title,0.3458333333333333,0.058525858022411816,0.28124041481872364,0.0638797104358673,0.07791148424148558,2.5551884174346924,easy
Dense+Meta+Title,0.3458333333333333,0.056963358022411814,0.2733492035067358,0.10004080533981323,0.12790682315826407,4.001632213592529,easy
Hybrid+Meta+Title+Expansion,0.3458333333333333,0.05884827865733244,0.279170885138169,0.11599495410919189,0.16711779832839965,4.639798164367676,easy
Hybrid+Meta+Title,0.3458333333333333,0.056963358022411814,0.2733492035067358,0.09930974245071411,0.1280975818634033,3.9723896980285645,easy
Hybrid+WeightedExpansion(0.5),0.3458333333333333,0.06003875484780864,0.2834103877040892,0.11895865797996522,0.14871267080307005,4.758346319198608,easy
Dense+Title,0.3458333333333333,0.058525858022411816,0.28124041481872364,0.0614238977432251,0.07417728900909423,2.456955909729004,easy
Hybrid+Meta+Title+Length,0.3375,0.052882605291507755,0.2899388158026466,0.13124407529830934,0.16466245651245115,5.249763011932373,easy
Hybrid+WeightedExpansion(0.3),0.3333333333333333,0.05884827865733244,0.27604153662469183,0.15074459314346314,0.26304628849029543,6.029783725738525,easy
BM25+Title,0.3258333333333333,0.05978608550478857,0.2680606566971405,0.00416519045829773,0.012469899654388425,0.16660761833190918,easy
BM25+Meta+Title,0.3258333333333333,0.058223585504788566,0.26016944538515263,0.029983699321746826,0.046841979026794434,1.199347972869873,easy
Hybrid,0.2875,0.04981370249043279,0.23964939499096757,0.06175289154052734,0.0787738561630249,2.4701156616210938,easy
Hybrid+Meta,0.2875,0.04981370249043279,0.24060877061907923,0.09659083485603333,0.11361560821533202,3.863633394241333,easy
