Config,MRR@5,Recall@5,nDCG@5,Avg Latency (s),P95 Latency (s),Total Time (s),split
Hybrid+Meta+Title+Cross,0.6300000000000001,0.1345784419268153,0.49241873807446906,8.068015217781067,10.013305282592773,322.7206087112427,overall
Hybrid+Meta+Title+Expansion+Cross,0.6300000000000001,0.1418512935962187,0.5054388026208924,9.704596138000488,12.192834150791168,388.18384552001953,overall
Hybrid+Title,0.6125,0.12865121162169788,0.48015571829070536,0.11077427864074707,0.18588145971298217,4.430971145629883,overall
Hybrid+Meta+Title,0.6125,0.12708871162169788,0.4722645069787175,0.132660311460495,0.16542037725448608,5.3064124584198,overall
Dense+Title,0.6125,0.12865121162169788,0.48015571829070536,0.07296785712242126,0.09140981435775757,2.9187142848968506,overall
Dense+Meta+Title,0.6125,0.12708871162169788,0.4722645069787175,0.14283963441848754,0.20374377965927118,5.713585376739502,overall
Hybrid+WeightedExpansion(0.3),0.6,0.1289736322566185,0.47495684009667344,0.17019466161727906,0.2082810878753662,6.807786464691162,overall
Hybrid+Meta+Title+Expansion,0.6,0.1289736322566185,0.47495684009667344,0.12493270635604858,0.15550230741500853,4.997308254241943,overall
Hybrid+WeightedExpansion(0.5),0.6,0.1301641084470947,0.4791963426625937,0.1583971858024597,0.18490999937057495,6.335887432098389,overall
BM25+Title,0.5904166666666667,0.12991143910407463,0.4663881663492696,0.003567934036254883,0.015628337860107422,0.1427173614501953,overall
BM25+Meta+Title,0.5904166666666667,0.12834893910407463,0.4584969550372818,0.036299633979797366,0.05114896297454833,1.4519853591918945,overall
Hybrid+Meta+Title+Length,0.5758333333333333,0.10745292744425297,0.461287107056579,0.11342593431472778,0.14076102972030638,4.537037372589111,overall
Full,0.5583333333333333,0.11476635368233142,0.446358160437884,8.792506492137909,12.342458522319792,351.70025968551636,overall
Hybrid+Meta,0.5145833333333333,0.11099558756717884,0.405849963472902,0.1411825478076935,0.1877982854843139,5.647301912307739,overall
Hybrid,0.5145833333333333,0.11099558756717884,0.4048905878447903,0.08523900508880615,0.12236131429672241,3.409560203552246,overall
Dense+Meta,0.5145833333333333,0.11099558756717884,0.405849963472902,0.1522955060005188,0.34078614711761457,6.091820240020752,overall
Dense,0.5145833333333333,0.11099558756717884,0.4048905878447903,0.07428784370422363,0.09792748689651487,2.9715137481689453,overall
BM25+Meta,0.49333333333333335,0.11377336534495663,0.4018877827273431,0.03533164858818054,0.04732468128204344,1.4132659435272217,overall
BM25,0.49333333333333335,0.11377336534495663,0.40092840709923144,0.0024928510189056396,0.01566317081451416,0.09971404075622559,overall
Hybrid+Meta+Title+Cross,0.3916666666666667,0.09298567584373144,0.32606678073023515,8.068015217781067,10.013305282592773,322.7206087112427,easy
Hybrid+Meta+Title+Expansion+Cross,0.3916666666666667,0.09400852751313483,0.3310448555403392,9.704596138000488,12.192834150791168,388.18384552001953,easy
Full,0.3833333333333333,0.08240138465599198,0.31920644665211284,8.792506492137909,12.342458522319792,351.70025968551636,easy
Hybrid+Title,0.3458333333333333,0.058525858022411816,0.28124041481872364,0.11077427864074707,0.18588145971298217,4.430971145629883,easy
Dense+Meta+Title,0.3458333333333333,0.056963358022411814,0.2733492035067358,0.14283963441848754,0.20374377965927118,5.713585376739502,easy
Hybrid+Meta+Title+Expansion,0.3458333333333333,0.05884827865733244,0.279170885138169,0.12493270635604858,0.15550230741500853,4.997308254241943,easy
Hybrid+Meta+Title,0.3458333333333333,0.056963358022411814,0.2733492035067358,0.132660311460495,0.16542037725448608,5.3064124584198,easy
Hybrid+WeightedExpansion(0.5),0.3458333333333333,0.06003875484780864,0.2834103877040892,0.1583971858024597,0.18490999937057495,6.335887432098389,easy
Dense+Title,0.3458333333333333,0.058525858022411816,0.28124041481872364,0.07296785712242126,0.09140981435775757,2.9187142848968506,easy
Hybrid+Meta+Title+Length,0.3375,0.052882605291507755,0.2899388158026466,0.11342593431472778,0.14076102972030638,4.537037372589111,easy
Hybrid+WeightedExpansion(0.3),0.3333333333333333,0.05884827865733244,0.27604153662469183,0.17019466161727906,0.2082810878753662,6.807786464691162,easy
BM25+Title,0.3258333333333333,0.05978608550478857,0.2680606566971405,0.003567934036254883,0.015628337860107422,0.1427173614501953,easy
BM25+Meta+Title,0.3258333333333333,0.058223585504788566,0.26016944538515263,0.036299633979797366,0.05114896297454833,1.4519853591918945,easy
Hybrid,0.2875,0.04981370249043279,0.23964939499096757,0.08523900508880615,0.12236131429672241,3.409560203552246,easy
Hybrid+Meta,0.2875,0.04981370249043279,0.24060877061907923,0.1411825478076935,0.1877982854843139,5.647301912307739,easy
Dense+Meta,0.2875,0.04981370249043279,0.24060877061907923,0.1522955060005188,0.34078614711761457,6.091820240020752,easy
Dense,0.2875,0.04981370249043279,0.23964939499096757,0.07428784370422363,0.09792748689651487,2.9715137481689453,easy
BM25+Meta,0.26749999999999996,0.05259148026821057,0.23701817168177947,0.03533164858818054,0.04732468128204344,1.4132659435272217,easy
BM25,0.26749999999999996,0.05259148026821057,0.2360587960536678,0.0024928510189056396,0.01566317081451416,0.09971404075622559,easy
Hybrid+Title,0.26666666666666666,0.07012535359928607,0.19891530347198166,0.11077427864074707,0.18588145971298217,4.430971145629883,hard
Hybrid+WeightedExpansion(0.3),0.26666666666666666,0.07012535359928607,0.19891530347198166,0.17019466161727906,0.2082810878753662,6.807786464691162,hard
Dense+Title,0.26666666666666666,0.07012535359928607,0.19891530347198166,0.07296785712242126,0.09140981435775757,2.9187142848968506,hard
Hybrid+Meta+Title,0.26666666666666666,0.07012535359928607,0.19891530347198166,0.132660311460495,0.16542037725448608,5.3064124584198,hard
Dense+Meta+Title,0.26666666666666666,0.07012535359928607,0.19891530347198166,0.14283963441848754,0.20374377965927118,5.713585376739502,hard
BM25+Title,0.2645833333333333,0.07012535359928607,0.19832750965212914,0.003567934036254883,0.015628337860107422,0.1427173614501953,hard
BM25+Meta+Title,0.2645833333333333,0.07012535359928607,0.19832750965212914,0.036299633979797366,0.05114896297454833,1.4519853591918945,hard
Hybrid+Meta+Title+Expansion,0.25416666666666665,0.07012535359928607,0.19578595495850445,0.12493270635604858,0.15550230741500853,4.997308254241943,hard
