Type,MRR,nDCG,Recall,Model
default,0.8,0.7470365282785958,0.0185,BM25
informational,0.9615384615384616,0.9000941295343898,0.02274728990712546,BM25
process_query,1.0,0.8771850769776061,0.02135416666666667,BM25
default,0.9,0.8101662187744987,0.02,Dense
informational,0.9615384615384616,0.9000941295343898,0.02274728990712546,Dense
process_query,1.0,0.8771850769776061,0.02135416666666667,Dense
default,0.9333333333333333,0.8047023505588203,0.0195,Hybrid
informational,0.9615384615384616,0.829639503301115,0.02040354339219067,Hybrid
process_query,1.0,0.8771850769776061,0.02135416666666667,Hybrid
default,0.75,0.6746238325439052,0.016499999999999997,CE_Full
informational,0.9070512820512822,0.7878324813661922,0.01944902364494167,CE_Full
process_query,0.875,0.8168061405473396,0.02015625,CE_Full
